ID,Session,note_quality,food_present,no_intx_yes_no,Hyena,Time,Order,Behavior,Target,Distance,Leader Y/N?,Food,Notes
5004,t38490,2,TRUE,FALSE,yog,00-Jan-00,1,mob,lion,<50,FALSE,,whoop rush twd lioness
5005,t38490,2,TRUE,FALSE,zc,00-Jan-00,1,mob,lion,<50,FALSE,,whoop rush twd lioness
5006,t38490,2,TRUE,FALSE,ath,00-Jan-00,2,mob,lion,<50,FALSE,,whoop brt rush twd lioness
5007,t38490,2,TRUE,FALSE,art,00-Jan-00,2,mob,lion,<50,FALSE,,whoop brt rush twd lioness
5008,t38490,2,TRUE,FALSE,ali,00-Jan-00,2,mob,lion,<50,FALSE,,whoop brt rush twd lioness
5009,t38490,2,TRUE,FALSE,foz,00-Jan-00,2,mob,lion,<50,FALSE,,whoop brt rush twd lioness
5010,t38490,2,TRUE,FALSE,adon,00-Jan-00,1,mob,lion,<50,FALSE,,whoop rush twd lioness
5011,t38490,2,TRUE,FALSE,ath,00-Jan-00,1,mob,lion,<50,FALSE,,whoop rush twd lioness
5012,t38490,2,TRUE,FALSE,ade,00-Jan-00,1,mob,lion,1,FALSE,,rush and chase lion
5013,t38490,2,TRUE,FALSE,adon,00-Jan-00,1,mob,lion,1,FALSE,,rush and chase lion
5014,t38490,2,TRUE,FALSE,ali,00-Jan-00,1,mob,lion,1,FALSE,,rush and chase lion
5015,t38490,2,TRUE,FALSE,art,00-Jan-00,1,mob,lion,1,FALSE,,rush and chase lion
5016,t38490,2,TRUE,FALSE,ath,00-Jan-00,1,mob,lion,1,FALSE,,rush and chase lion
5017,t38490,2,TRUE,FALSE,bail,00-Jan-00,1,mob,lion,1,FALSE,,rush and chase lion
5018,t38490,2,TRUE,FALSE,bca,00-Jan-00,1,mob,lion,1,FALSE,,rush and chase lion
5019,t38490,2,TRUE,FALSE,csn,00-Jan-00,1,mob,lion,1,FALSE,,rush and chase lion
5020,t38490,2,TRUE,FALSE,foz,00-Jan-00,1,mob,lion,1,FALSE,,rush and chase lion
5021,t38490,2,TRUE,FALSE,kdy,00-Jan-00,1,mob,lion,1,FALSE,,rush and chase lion
5022,t38490,2,TRUE,FALSE,kier,00-Jan-00,1,mob,lion,1,FALSE,,rush and chase lion
5023,t38490,2,TRUE,FALSE,ldv,00-Jan-00,1,mob,lion,1,FALSE,,rush and chase lion
5024,t38490,2,TRUE,FALSE,mali,00-Jan-00,1,mob,lion,1,FALSE,,rush and chase lion
5025,t38490,2,TRUE,FALSE,mp,00-Jan-00,1,mob,lion,1,FALSE,,rush and chase lion
5026,t38490,2,TRUE,FALSE,nick,00-Jan-00,1,mob,lion,1,FALSE,,rush and chase lion
5027,t38490,2,TRUE,FALSE,vgs,00-Jan-00,1,mob,lion,1,FALSE,,rush and chase lion
5028,t38490,2,TRUE,FALSE,wrl,00-Jan-00,1,mob,lion,1,FALSE,,rush and chase lion
5029,t38490,2,TRUE,FALSE,yog,00-Jan-00,1,mob,lion,1,FALSE,,rush and chase lion
5030,t38490,2,TRUE,FALSE,zc,00-Jan-00,1,mob,lion,1,FALSE,,rush and chase lion
5031,t38490,2,TRUE,FALSE,art,00-Jan-00,2,fd,,,FALSE,"head, skull of tommy carcass",
5032,t38490,2,TRUE,FALSE,art,00-Jan-00,3,bo w/fd,,,FALSE,,response to being chased by lion
5033,t38490,2,TRUE,FALSE,ade,00-Jan-00,4,mob,lion,1,FALSE,,
